APP_ID, CIBIL_SCORE_VALUE ,NEW_CUST,CUS_CATGCODE , EMPLOYMENT_TYPE ,AGE, SEX  , NO_OF_DEPENDENTS , MARITAL , EDU_QUA,  P_RESTYPE , P_CATEGORY , EMPLOYEE_TYPE ,  MON_IN_OCC , INCOM_EXP_GMI ,LTV, TENURE ,STATUS
37771,1,NO,1,0,30,F,3,1,0,0,1,0,60,0,0.849757674,36,0
37773,1,NO,0,1,22,F,1,0,1,0,1,1,3,1,0.795067337,24,0
37775,2,NO,0,0,34,M,2,0,1,0,1,1,60,0,0.895170789,24,1
37777,2,NO,1,1,46,F,1,0,1,0,1,1,180,1,0.843744929,24,0
37779,0,YES,0,1,47,F,3,1,1,0,4,1,84,0,0.80932936,18,0
37781,0,YES,1,1,36,F,3,1,0,0,1,1,240,0,0.626664578,12,0
37783,2,NO,1,0,32,F,3,1,0,0,1,0,144,1,0.642331192,18,0
37785,1,NO,1,0,22,F,3,1,1,0,1,1,120,3,0.649725671,12,1
37787,2,NO,1,0,37,F,0,0,0,0,1,0,96,1,0.48607238,12,0
37789,0,YES,1,0,24,F,1,1,0,0,1,0,60,1,0.915337616,18,0
37791,1,NO,1,1,29,F,0,1,0,0,4,1,108,0,0.799404669,12,0
37793,1,NO,0,1,30,F,3,1,0,0,1,1,6,1,0.895177592,12,1
37795,0,YES,1,1,21,F,2,1,0,0,2,1,24,0,0.717828243,24,0
37797,0,YES,1,1,21,F,2,1,0,0,2,1,36,0,0.737706604,18,1
37799,2,NO,0,0,31,F,2,1,0,0,1,0,48,1,0.568580771,24,0
37801,0,YES,1,1,25,F,1,1,1,0,2,1,36,1,0.870540351,24,1
37803,2,NO,0,1,33,F,0,1,0,0,1,1,144,2,0.8,24,0
37805,2,NO,1,0,26,F,2,1,0,0,2,0,60,1,0.85323546,36,0
37807,0,YES,1,1,41,F,2,1,1,0,2,1,6,0,0.649308275,24,1
